Id,Name,2026-09-01 23:06:25,2026-09-02 08:14:42,2026-09-02 22:31:36,2026-09-03 08:14:32,2026-09-03 22:29:59,2026-09-04 08:11:07,2026-09-04 22:24:55,2026-09-05 07:58:06,2026-09-05 21:33:09,2026-09-06 07:46:19,2026-09-06 21:48:45
74116181,ASRock B860 LiveMixer WiFi 인텍앤컴퍼니,"280,040","280,040","280,040","280,040",0,"275,050","277,550","280,040",0,"280,040","280,040"
75935651,ASRock B860 Pro RS WiFi 디앤디컴,"219,000","219,000","219,000","219,000",0,"219,000","219,000","219,000",0,"219,000","219,000"
74415509,ASRock B860 Pro RS WiFi 에즈윈,"260,640","260,640","260,640","260,640",0,"260,640","260,640","260,640",0,"260,640","260,640"
74415482,ASRock B860 Pro RS 에즈윈,"249,890","249,890","249,890","249,890",0,"249,890","249,890","249,890",0,"249,890","249,890"
82470941,ASRock B860 Pro-A WiFi 에즈윈,"239,000","239,000","239,000","239,000",0,"239,000","239,000","239,000",0,"239,000","239,000"
92360492,ASRock B860 Pro-A 에즈윈,"227,480","227,480","227,480","227,480",0,"227,480","227,480","227,480",0,"227,480","227,480"
106748744,ASRock B860 Rock WiFi 7 디앤디컴,"219,690","219,690","222,530","222,530",0,"222,540","222,540","222,540",0,"222,540","222,540"
106728086,ASRock B860 Rock WiFi 7 에즈윈,"223,540","223,540","223,520","223,520",0,"223,520","223,520","223,520",0,"223,500","223,440"
122642347,ASRock B860 Rock WiFi7 인텍앤컴퍼니,"221,530","221,530","221,530","221,530",0,"221,530","221,530","221,530",0,"221,530","221,530"
74116589,ASRock B860 스틸레전드 WiFi 인텍앤컴퍼니,"349,000","349,000","349,000","349,000",0,"349,000","399,000","399,000",0,"399,000","399,000"
75935729,ASRock B860I WiFi 디앤디컴,"266,500","266,500","266,500","266,500",0,"266,500","266,500","266,500",0,"266,500","266,500"
74491295,ASRock B860I WiFi 에즈윈,"289,000","289,000","280,370","280,370",0,"280,370","280,370","280,370",0,"280,370","280,370"
122726205,ASRock B860M Challenger WiFi 7 White 디앤디컴,"247,570","247,570","247,570","247,570",0,"250,820","250,810","250,790",0,"250,770","250,710"
74116334,ASRock B860M LiveMixer WiFi 인텍앤컴퍼니,"217,560","217,560","217,560","217,560",0,"217,560","217,560","217,560",0,"217,560","217,560"
75935612,ASRock B860M Pro RS WiFi 디앤디컴,"213,370","213,370","213,350","213,350",0,"213,380","213,370","213,350",0,"213,350","213,310"
74415038,ASRock B860M Pro RS WiFi 에즈윈,"211,680","211,680","211,680","211,680",0,"211,680","211,680","211,680",0,"211,680","211,680"
74121977,ASRock B860M Pro RS WiFi 인텍앤컴퍼니,"212,180","212,180","212,180","212,180",0,"212,180","212,180","212,180",0,"212,180","212,180"
74422025,ASRock B860M Pro RS 디앤디컴,"201,450","201,450","200,150","201,450",0,"202,490","200,150","201,450",0,"201,450","201,410"
74013710,ASRock B860M Pro RS 에즈윈,"200,670","200,670","200,670","200,670",0,"200,670","200,670","200,670",0,"200,670","200,670"
102412697,ASRock B860M Pro-A 디앤디컴,"171,400","171,410","171,390","171,390",0,"171,440","171,430","171,410",0,"171,410","171,370"
98415419,ASRock B860M Pro-A 에즈윈,"171,560","171,560","171,560","171,560",0,"171,560","171,560","171,560",0,"171,560","171,560"
75856643,ASRock B860M Pro-A 인텍앤컴퍼니,"174,000","174,000","174,000","174,000",0,"174,000","174,000","174,000",0,"174,000","174,000"
122694855,ASRock B860M Rock WiFi 디앤디컴,"180,300","180,300","180,300","180,300",0,"180,300","180,300","180,300",0,"180,300","180,300"
106728191,ASRock B860M Rock WiFi 에즈윈,"185,000","185,000","185,000","185,000",0,"185,000","185,000","185,000",0,"185,000","185,000"
108456887,ASRock B860M Rock WiFi 인텍앤컴퍼니,"187,290","187,290","187,290","187,290",0,"187,290","187,290","187,290",0,"187,290","187,290"
75935675,ASRock B860M 스틸레전드 WiFi 디앤디컴,"263,750","263,750","261,940","261,940",0,"265,430","261,950","265,390",0,"262,920","262,920"
74116682,ASRock B860M 스틸레전드 WiFi 인텍앤컴퍼니,"263,520","263,520","263,520","263,520",0,"263,520","263,520","263,520",0,"263,520","263,520"
122620820,ASRock B860M-HDVP 에즈윈 (벌크),"146,670","146,670","146,670","146,670",0,"146,670","146,670","146,670",0,"146,670","146,670"
102412694,ASRock B860M-X Gen5 디앤디컴,"162,470","162,470","161,900","161,900",0,"162,470","161,910","162,470",0,"162,470","162,470"
104966246,ASRock B860M-X Gen5 에즈윈,"165,020","165,020","165,000","165,000",0,"165,000","165,000","165,000",0,"165,000","164,960"
103415765,ASRock B860M-X Gen5 에즈윈 (벌크),"144,270","144,270","144,270","144,270",0,"144,270","144,270","144,270",0,"144,270","144,270"
104628878,ASRock B860M-X Gen5 인텍앤컴퍼니,"166,110","166,110","166,110","166,110",0,"166,110","166,110","166,110",0,"166,110","166,110"
78307601,ASRock B860M-X 디앤디컴,"179,000","179,000","179,000","179,000",0,"179,000","179,000","179,000",0,"179,000","179,000"
74491253,ASRock B860M-X 에즈윈,"169,000","169,000","169,000","169,000",0,"169,000","169,000","169,000",0,"169,000","169,000"
74122352,ASRock B860M-X 인텍앤컴퍼니,"171,000","162,490","162,490","162,490",0,"162,490","162,490","162,490",0,"160,500","160,500"
17968601,ASRock C621A WS 에즈윈,"1,871,000","1,871,000","1,871,000","1,871,000",0,"1,871,000","1,871,000","1,871,000",0,"1,871,000","1,871,000"
